"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl"
1229065968.250,10.059,12.621,7.68e-19,3940.352,4.500,7870.580566,0.000,0.000,0.996,"OcNXtOxdar","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/OcNXtOxdar.png"
1229133795.813,23.531,24.451,9.75e-22,33.472,2.500,37.972542,0.000,0.000,0.996,"D2cj3yel3u","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/qjYZFqQhHo/D2cj3yel3u.png"
1229136499.688,21.526,20.939,1.34e-21,3982.484,2.809,7935.997070,0.000,0.000,0.996,"RNdKn2vyky","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/qjYZFqQhHo/RNdKn2vyky.png"
1228985548.438,21.146,15.624,1.30e-21,3982.484,1.500,7935.997070,0.000,0.000,0.995,"K3TcZJ8AEo","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/K3TcZJ8AEo.png"
1228990457.063,20.773,17.979,1.97e-21,3979.801,3.680,7941.364258,0.000,0.000,0.995,"kZvlv2NMbB","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/kZvlv2NMbB.png"
1228974802.188,23.115,24.761,1.21e-21,3982.484,3.078,7935.997070,0.000,0.000,0.995,"Ssp8r1XUE0","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/Ssp8r1XUE0.png"
1228992503.438,20.773,13.310,1.72e-21,3982.484,1.854,7935.997070,0.000,0.000,0.995,"tHd0PsB1Kc","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/tHd0PsB1Kc.png"
1229139613.063,23.531,36.897,1.30e-21,3982.484,6.010,7935.997070,0.000,0.000,0.994,"DMigo6iPU5","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/qjYZFqQhHo/DMigo6iPU5.png"
1228984834.563,23.115,8.199,3.93e-22,3982.484,1.500,7935.997070,0.000,0.000,0.994,"KxRAhaTGDE","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/KxRAhaTGDE.png"
1229057559.938,20.773,15.683,2.68e-21,26.215,2.250,32.233501,0.000,0.000,0.994,"f2bk9Ba2Z7","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/f2bk9Ba2Z7.png"
